LongName	Azimuthal angle	SHG Intensity	SHG Intensity	SHG Intensity		Azimuthal angle*	SHG Intensity	SHG Intensity	SHG Intensity
Unit	°	cts	cts	cts		°	cts	cts	cts
NO.		P1PP	P1PC	P1TT			P2PP	P2PC	P2TT
1	0	152.539	48.3563	195.901		-8	524.342	311.947	1154.82
2	5	207.514	102.221	319.456		-3	291.99	233.055	858.372
3	10	268.102	232.96	514.579		2	210.161	154.122	567.881
4	15	395.525	419.384	832.222		7	135.232	119.606	393.747
5	20	618.627	668.804	1305.74		12	111.154	107.805	327.245
6	25	938.563	880.716	1917.76		17	120.456	121.979	294.556
7	30	1382.4	999.441	2706.02		22	135.66	125.18	315.09
8	35	1986.87	1114.37	3567.55		27	191.113	114.305	332.066
9	40	2820.8	1082.31	4444.69		32	253.863	102.009	372.647
10	45	3810.01	943.955	5511.52		37	313.859	67.7845	426.198
11	50	4653.18	789.589	6301.51		42	365.105	37.3048	435.37
12	55	5449.23	481.949	7344.4		47	405.624	24.8354	460.425
13	60	6169.33	268.086	7854.24		52	395.369	42.4735	502.902
14	65	6681.46	88.1888	8235.38		57	323.376	107.054	483.159
15	70	6929.49	40.775	8541.16		62	237.545	245.322	518.374
16	75	6819.27	118.533	8423.63		67	124.235	446.552	585.349
17	80	6481.95	352.681	8093.58		72	39.4499	659.771	713.624
18	85	5688.68	629.395	7706.31		77	5.30167	874.162	868.082
19	90	4588.05	923.184	6803.97		82	63.1011	1057.08	1077.05
20	95	3745.06	1298.31	5946.85		87	238.886	1192.5	1385.62
21	100	2718.59	1486.36	4952.29		92	571.28	1229.34	1708.73
22	105	1848.24	1568.43	4080.94		97	1007.54	1186.63	2099.41
23	110	1136.13	1601.94	3084.87		102	1558.59	1031.79	2482.59
24	115	571.379	1456.55	2365.47		107	2092.96	763.222	2852.37
25	120	237.266	1162.33	1728.28		112	2603.67	549.366	3341.13
26	125	92.1874	875.389	1171.6		117	3003.22	324.647	3551.8
27	130	47.1181	584.25	779.748		122	3319.59	132.765	3785.66
28	135	75.2022	360.636	531.495		127	3466.39	0	3874.79
29	140	127.219	190.054	363.65		132	3284.87	0	3844.21
30	145	155.582	53.1364	262.67		137	3093.16	48.6397	3788.74
31	150	201.196	15.9652	224.302		142	2674.88	121.564	3528.78
32	155	171.397	12.8203	258.346		147	2219.89	228.358	3216.71
33	160	191.172	20.1215	232.921		152	1795.81	338.28	2840.99
34	165	157.69	25.5275	215.703		157	1340.35	377.777	2379.19
35	170	145.42	16.1704	191.974		162	946.668	396.128	1918.04
36	175	140.574	14.7013	174.597		167	625.517	365.776	1514.35
37	180	138.628	41.51	179.124		172	417.047	283.183	1158.64
38	185	159.005	96.708	266.568		177	289.762	234.199	847.832
39	190	220.051	224.315	451.004		182	178.161	171.65	590.331
40	195	342.812	395.221	797.113		187	114.741	129.303	417.738
41	200	530.172	659.684	1243.37		192	96.1018	127.827	344.902
42	205	887.611	893.184	1830.22		197	100.038	133.472	294.732
43	210	1371.6	1077.13	2579.61		202	119.175	160.028	307.067
44	215	1981.37	1157.59	3449.26		207	166.774	142.561	385.757
45	220	2872.67	1139.85	4339.53		212	197.862	147.324	397.956
46	225	3826.09	1001.94	5366.62		217	297.368	103.252	457.862
47	230	4734.2	805.84	6277.69		222	359.1	69.0946	490.218
48	235	5785.8	535.454	7117.37		227	393.407	40.0337	527.134
49	240	6767.69	282.867	7668.9		232	351.82	87.5981	532.642
50	245	7300.03	89.652	8211.31		237	303.352	162.798	544.098
51	250	7648.25	14.6339	8462.23		242	227.242	310.711	614.873
52	255	7526.29	112.397	8416.88		247	98.6843	540.872	723.409
53	260	7030.25	308.574	8095.89		252	28.8423	829.204	840.167
54	265	6338.29	659.941	7575.41		257	15.6809	1075.1	1042.44
55	270	5330.97	1037.58	6836.39		262	76.9714	1300.27	1336.92
56	275	4156.75	1357.15	5932.44		267	270.77	1395.89	1625.26
57	280	2990.59	1642.73	4980.21		272	608.992	1408.89	2032.81
58	285	1972.7	1697.27	4162.32		277	1065.62	1335.63	2362.12
59	290	1151.3	1716.05	3270.95		282	1596.2	1162.91	2796.27
60	295	573.682	1530.35	2409.27		287	2169.72	882.276	3485.15
61	300	222.831	1294.8	1708.63		292	2679.74	593.909	3738.55
62	305	45.9959	875.552	1119.97		297	3173.4	372.93	4038.09
63	310	23.2766	610.413	773.325		302	3364.72	134.882	4250.35
64	315	73.7827	373.298	471.501		307	3409.57	41.7041	4403.86
65	320	147.483	171.999	314.239		312	3375.36	9.03607	4371.03
66	325	211.818	0	247.324		317	3056.04	49.815	4096.42
67	330	234.887	14.5542	263.658		322	2756.96	144.732	3833.97
68	335	232.731	5.73488	233.723		327	2249.87	247.385	3482.1
69	340	216.134	17.5643	243.852		332	1793.44	327.526	3054.71
70	-20	218.672	15.7466	252.129		-28	2027.75	351.556	3073.63
71	-15	186.36	20.3193	223.301		-23	1536.77	402.655	2471.91
72	-10	158.849	14.8795	208		-18	1125.92	407.504	2149.15
73	-5	153.974	32.9826	197.816		-13	747.876	355.853	1568.6

* Note: Before fitting practice, all the angle data was compensated about 20° so that the long axis can be regarded align to the Lab X axis. 
